"rank","strategy","isChampion","sweep_mean","eps_0.","eps_0.02","eps_0.05","eps_0.1","eps_0.15","eps_0.2"
1,"*MemTwo-Long",1,2.6065,2.8445,2.765,2.6634,2.5445,2.4414000000000002,2.3804000000000003
2,"Adaptive",0,2.5304,2.8454,2.6542000000000003,2.5525,2.4368000000000003,2.3765,2.3171
3,"*AdaptiveGenerous",1,2.5071000000000003,2.8403,2.5868,2.5197000000000003,2.4210000000000003,2.3547000000000002,2.3203
4,"TitFor2Tats",0,2.5064,2.8032,2.5980000000000003,2.521,2.4296,2.3667000000000002,2.3203
5,"*TitFor2Tats",1,2.5064,2.8043,2.6115,2.521,2.4311000000000003,2.3645,2.3059000000000003
6,"*GenerousTF2T-0.3",1,2.5062,2.8249,2.6332,2.5233000000000003,2.4101,2.3401,2.3055000000000003
7,"GenerousTFT",0,2.4986,2.8282000000000003,2.5805000000000002,2.4928,2.4054,2.3565,2.3280000000000003
8,"*GenerousTFT-0.3",1,2.4968,2.8280000000000003,2.5678,2.483,2.4025000000000003,2.3653,2.3342
9,"*GenerousTFT-0.2",1,2.4904,2.8267,2.5486,2.458,2.4057,2.3711,2.3321
10,"*ContriteTF2T",1,2.4861,2.8155,2.6057,2.4977,2.3976,2.3291,2.2709
11,"Remorse",0,2.484,2.7945,2.5962,2.5034,2.3911000000000002,2.3299000000000003,2.2889
12,"*GenerousTFT-0.1",1,2.4835000000000003,2.8227,2.5114,2.4525,2.4102,2.3646000000000003,2.3395
13,"ZD-Generous",0,2.4807,2.8269,2.511,2.439,2.3996,2.3712,2.3363
14,"OmegaTFT",0,2.4683,2.8242000000000003,2.4362,2.4036,2.3914,2.3811,2.3735
15,"TitForTat",0,2.4549000000000003,2.7805,2.4295,2.4089,2.386,2.3667000000000002,2.3581000000000003
16,"AllC",0,2.4504,2.7882000000000002,2.557,2.4619,2.3643,2.2868,2.2441
17,"ContriteTFT",0,2.4443,2.7816,2.4329,2.4051,2.3769,2.3472,2.3221000000000003
18,"Random",0,2.3864,2.4327,2.4079,2.3782,2.3831,2.3608000000000002,2.3555
19,"SuspiciousTFT",0,2.3654,2.3607,2.3904,2.3885,2.3743000000000003,2.3488,2.3298
20,"Pavlov",0,2.3601,2.6894,2.3197,2.2743,2.2811,2.3024,2.2937000000000003
21,"2TitsForTat",0,2.3445,2.6815,2.2012,2.2208,2.2880000000000003,2.3301000000000003,2.3457
22,"Gradual",0,2.313,2.6956,2.1048,2.1270000000000002,2.2474000000000003,2.3188,2.3846000000000003
23,"HardMajority",0,2.3072,2.3956,2.3198000000000003,2.2854,2.2762000000000002,2.2799,2.2864
24,"Grim",0,2.2949,2.6870000000000003,2.0889,2.1109,2.2103,2.3066,2.3658
25,"ZD-Extort-2",0,2.2707,2.0912,2.2123,2.2712000000000003,2.345,2.3602000000000003,2.3442000000000003
26,"AllD",0,2.1495,1.8611000000000002,1.9838,2.1038,2.2339,2.3240000000000003,2.3906
