"generation","meanPCC_lowNoise","meanPCC_highNoise"
1,0.4777,0.5368
2,0.4071,0.4854
3,0.3388,0.4561
4,0.3417,0.47740000000000005
5,0.3534,0.5122
6,0.38120000000000004,0.47350000000000003
7,0.39390000000000003,0.4566
8,0.37970000000000004,0.4625
9,0.4078,0.4637
10,0.40790000000000004,0.4394
11,0.3803,0.4161
12,0.38230000000000003,0.4167
13,0.3871,0.40940000000000004
14,0.40040000000000003,0.40640000000000004
15,0.3946,0.42610000000000003
16,0.3801,0.4133
17,0.3609,0.4071
18,0.3536,0.41050000000000003
19,0.33280000000000004,0.406
20,0.3498,0.41040000000000004
21,0.3613,0.3925
22,0.35450000000000004,0.3854
23,0.3352,0.3715
24,0.35400000000000004,0.38630000000000003
25,0.3442,0.3644
26,0.3695,0.3659
27,0.3664,0.3718
28,0.38730000000000003,0.3791
29,0.3768,0.3562
30,0.39580000000000004,0.3481
31,0.4141,0.3488
32,0.4222,0.3504
33,0.4272,0.3554
34,0.43810000000000004,0.37970000000000004
35,0.4239,0.36160000000000003
36,0.4169,0.3527
37,0.4202,0.3608
38,0.4167,0.3916
39,0.4179,0.38820000000000005
40,0.3876,0.40800000000000003
41,0.3865,0.40740000000000004
42,0.37270000000000003,0.42060000000000003
43,0.389,0.4031
44,0.4142,0.3834
45,0.4086,0.3774
46,0.4258,0.3793
47,0.43910000000000005,0.3567
48,0.42860000000000004,0.3614
49,0.4212,0.3292
50,0.4078,0.32930000000000004
51,0.4006,0.332
52,0.4051,0.34
53,0.4197,0.3346
54,0.42600000000000005,0.3383
55,0.42910000000000004,0.3204
56,0.4283,0.308
57,0.431,0.3105
58,0.4404,0.2932
59,0.4409,0.30310000000000004
60,0.4168,0.2782
61,0.44520000000000004,0.2803
62,0.4368,0.2516
63,0.41500000000000004,0.2432
64,0.4127,0.2215
65,0.4031,0.2223
66,0.39490000000000003,0.22060000000000002
67,0.37470000000000003,0.21760000000000002
68,0.3452,0.21580000000000002
69,0.364,0.23820000000000002
70,0.34040000000000004,0.2336
71,0.3412,0.24700000000000003
72,0.3205,0.2242
73,0.31220000000000003,0.2361
74,0.3183,0.2049
75,0.3108,0.191
76,0.29300000000000004,0.1837
77,0.3005,0.16570000000000001
78,0.29760000000000003,0.1565
79,0.30870000000000003,0.1678
80,0.30510000000000004,0.1584
