"strategy","0.","0.02","0.05","0.1","0.15","0.2"
"AllC",3,17,15,12,10,11
"AllD",6,7,8,7,9,12
"Random",10,12,12,13,17,13
"TitForTat",4,15,15,13,18,11
"SuspiciousTFT",9,11,12,12,15,14
"GenerousTFT",3,17,19,17,13,13
"TitFor2Tats",3,15,15,14,12,12
"2TitsForTat",4,9,9,10,13,11
"Grim",4,7,8,8,8,13
"Pavlov",3,7,7,11,12,11
"Gradual",3,9,9,10,9,13
"ZD-Extort-2",8,8,9,9,9,13
"ZD-Generous",3,17,17,13,14,12
"ContriteTFT",3,16,15,16,14,14
"Remorse",3,15,14,13,10,12
"Adaptive",4,13,15,16,10,10
"OmegaTFT",4,13,13,14,14,13
"HardMajority",10,13,11,9,7,9
"*AdaptiveGenerous",3,19,18,17,13,15
"*ContriteTF2T",3,18,13,16,12,10
"*GenerousTF2T-0.3",3,17,15,16,13,8
"*GenerousTFT-0.1",3,16,13,13,15,15
"*GenerousTFT-0.2",3,17,19,14,17,17
"*GenerousTFT-0.3",3,17,18,17,15,15
"*TitFor2Tats",3,18,18,14,14,11
