"vs","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
"AllC",2.9463,0.20525,1.57055,2.8115,2.7911,2.86045,2.94315,2.68565,0.5233,1.59585,2.30605,2.15245,2.831
"AllD",4.6895,1.1509,2.92195,1.3381,1.3232,2.45205,1.5242,1.1723,1.1658,2.92805,1.17035,1.27575,2.04925
"Random",3.8308,0.67645,2.2422,2.26335,2.2338,2.7892,3.03935,1.48755,0.71435,2.2656,0.7327,1.8055,2.5407
"TitForTat",3.036,1.09285,2.2506,2.3196,2.2135,2.859,3.01315,1.22475,1.19815,2.2678,1.2315,1.50995,2.70095
"SuspiciousTFT",3.0411,1.09395,2.2428,2.22975,2.21805,2.857,3.01525,1.1623,1.11715,2.24745,1.1376,1.49845,2.6979
"GenerousTFT",3.00495,0.79805,2.0212,2.71025,2.686,2.8608,2.9865,1.80215,0.9292,2.3841,1.01705,1.8874,2.79635
"TitFor2Tats",2.94815,1.0497,1.9076,2.7879,2.77875,2.8555,2.94165,1.9179,1.2386,2.0418,1.4019,1.8296,2.8134
"2TitsForTat",3.11515,1.13105,2.57855,1.43375,1.38305,2.67065,2.55715,1.24825,1.2344,2.81825,1.25995,1.3097,2.23265
"Grim",4.49855,1.1393,2.92635,1.41915,1.34815,2.4767,1.65835,1.2539,1.2338,2.91885,1.24765,1.3098,2.13615
"Pavlov",3.8141,0.6708,2.2536,2.27705,2.2347,2.7821,2.8193,1.04125,0.7991,2.7882,0.8198,1.77285,2.63375
"Gradual",3.35905,1.1271,2.9052,1.44,1.3431,2.4948,1.83665,1.23245,1.23665,2.9183,1.29115,1.3061,2.1344
"ZD-Extort-2",3.45695,1.11425,2.44525,1.6767,1.6582,2.7379,2.63885,1.18145,1.1648,2.3501,1.1686,1.39425,2.4259
"ZD-Generous",3.02075,0.90725,2.13795,2.58795,2.5769,2.86735,3.0184,1.3504,1.03365,2.4385,1.0579,1.80265,2.74825
